sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
3103-677	Willow_Whitehorse	Willow	2020	2640084	Willow_Whitehorse		Willow_2020	2041	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
LittleAlv15	Alvord_Lake_OOB	Little_Alvord	2021	1166427	Willow_Whitehorse		Little_Alvord_2021	2042	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Y170092CAR	Carson	Poison_Flat	2017	1664331	Carson		Poison_Flat_2017	2043	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y180034	Kings_R_OOB	WF_Cow	2018	3244060	Tahoe		WF_Cow_2018	2044	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
MAG_COY_2015_014	Humboldt/Upper	Coyote	2015	778955	Humboldt	Upper	Coyote_2015	2045	-116.2598378	41.04644266	YES	Coyote	0.00000079	0.000000692	-0.100411934	0.0000224	0.0000217	3.4	2.6	3.9	2028	1318	2009	yes
Y200054WKR	Walker	Wolf	2020	1530947	Walker		Wolf_2020	2046	-119.5910264	38.35848746	YES	Upper Wolf & Lower Wolf	0.00000175	0.00000143	-0.217860379	0.0000414	0.0000436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
ROC_ROC_2017_001	Humboldt/Rock	Rock	2017	1907095	Humboldt	Rock	Rock_2017	2047	-116.4271066	41.36591453	YES	Rock	0.000000664	0.000000591	-0.066621372	0.0000209	0.0000205	8.8	7.6	10.4	508	284	2009	yes
3103-579	Willow_Whitehorse	Little_Whitehorse	2020	2194421	Willow_Whitehorse		Little_Whitehorse_2020	2048	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y160032IPL	Independence	Independence_Lake	2016	717226	Tahoe		Independence_Lake_2016	2049	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
TRU_POL_2016_022	Pyramid_Truckee	Pole	2016	555799	Tahoe		Pole_2016	2050	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
